"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_chain","attribute_data:pa_chain","attribute_default:pa_chain","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color","attribute:pa_diamonds","attribute_data:pa_diamonds","attribute_default:pa_diamonds","attribute:pa_lock","attribute_data:pa_lock","attribute_default:pa_lock","attribute:pa_material","attribute_data:pa_material","attribute_default:pa_material","attribute:pa_measure","attribute_data:pa_measure","attribute_default:pa_measure","attribute:pa_movement","attribute_data:pa_movement","attribute_default:pa_movement"
"23800 DB","23800-db","1720","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:29","0","1","open","23800 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/23800-db/23800-DB.jpg | http://localhost/faberge/app/uploads/product/emperor/23800-db/23800-DB_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","DB|R|TB","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23947 DB","23947-db","1721","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:29","0","1","open","23947 DB VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23947-db/23947-DB.jpg","","variable","Eggs > Anastasija","","","0","","","","DB|R|V","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"PF016 DB","pf016-db","1722","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:29","0","1","open","PF016 DB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf016-db/PF016-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf016-db/PF016-DB_zoom.jpg","","variable","Eggs > Peter Carl Fabergé","","","0","","","","DB|R|V|w","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23878 DB","23878-db","1723","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:30","0","1","open","23878 DB VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23878-db/23878-DB.jpg","","variable","Eggs > Anastasija","","","0","","","","DB|TB|w","0|1|1","db","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23928 DBG","23928-dbg","1724","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:30","0","1","open","23928 DBG VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23928-dbg/23928-DBG.jpg","","variable","Eggs > Anastasija","","","0","","","","DBG|DBS|R|TB|w","0|1|1","dbg","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"01498 R","01498-dbs","1725","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:30","0","1","open","01498 R VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/01498-r/01498-R.jpg | http://localhost/faberge/app/uploads/product/emperor/01498-r/01498-R_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","DBS|R|TBS","0|1|1","r","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23840 DV","23840-dv","1726","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:30","0","1","open","23840 DV VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/23840-dv/23840-DV.jpg | http://localhost/faberge/app/uploads/product/emperor/23840-dv/23840-DV_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","DV|R|V","0|1|1","dv","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"13907 G","13907-g","1727","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:30","0","1","open","13907 G VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/13907-g/13907-G.jpg | http://localhost/faberge/app/uploads/product/emperor/13907-g/13907-G_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","G|s","0|1|1","g","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"23979 G","23979-g","1728","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:30","0","1","open","23979 G VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/23979-g/23979-G.jpg | http://localhost/faberge/app/uploads/product/emperor/23979-g/23979-G_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","G|s","0|1|1","g","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"63003 G","63003-g","1729","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:30","0","1","open","63003 G VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/63003-g/63003-G.jpg | http://localhost/faberge/app/uploads/product/emperor/63003-g/63003-G_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","G|s","0|1|1","g","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"01493 GDB","01493-gdb","1730","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:30","0","1","open","01493 GDB VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/01493-gdb/01493-GDB.jpg | http://localhost/faberge/app/uploads/product/anastasija/01493-gdb/01493-GDB_zoom.jpg","","variable","Eggs > Anastasija","","","0","","","","GDB|GW|WDB","0|1|1","gdb","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"15964 GR","15964-gr","1731","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:31","0","1","open","15964 GR VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/15964-gr/15964-GR.jpg | http://localhost/faberge/app/uploads/product/emperor/15964-gr/15964-GR_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","GR|TB","0|1|1","gr","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"01480 GR","01480-gr","1732","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:31","0","1","open","01480 GR VARIABLE","no","no","visible","0","instock","no","no","","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/01480-gr/01480-GR.jpg | http://localhost/faberge/app/uploads/product/emperor/01480-gr/01480-GR_zoom.jpg","","variable","Eggs > Emperor","","","0","","","","GR|TBS|w","0|1|1","gr","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"13915 TB","13915-tb","1733","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:31","0","1","open","13915 TB VARIABLE","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/13915-tb/13915-TB.jpg","","variable","Eggs > Anastasija","","","0","","","","TB|V|w","0|1|1","tb","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","","","",""
"13981 B","13981-b","1734","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","Great Russian master jewellers together with jewellery art historians contribued in creating the Emperor collections. Each stylistic and production element was looked after with utmost attention to exalt the beauty of jewels in tune with the tradition of the Fabergé family and stylistic  footprint conceived by Carl Fabergé.","publish","0","2016-03-11 15:37:31","0","1","open","13981 B","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/emperor/13981-b/13981-B.jpg | http://localhost/faberge/app/uploads/product/emperor/13981-b/13981-B_zoom.jpg","","simple","Eggs > Emperor","","","0","","","","B","0|1|0","B","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"13989 GR","13989-gr","1735","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:31","0","1","open","13989 GR","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/13989-gr/13989-GR.jpg | http://localhost/faberge/app/uploads/product/anastasija/13989-gr/13989-GR_zoom.jpg","","simple","Eggs > Anastasija","","","0","","","","GR","0|1|0","GR","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"23999 TB","23999-tb","1736","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","The Grand Duchess Anastasija was the liveliest member of the close-knit family of Tsar Nicholas II. Her name means ""she who breaks the chains"" or ""resurrection"", meanings that perfectly encapsulate her cheerful and impertinent personality.","publish","0","2016-03-11 15:37:31","0","1","open","23999 TB","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/anastasija/23999-tb/23999-TB.jpg | http://localhost/faberge/app/uploads/product/anastasija/23999-tb/23999-TB_zoom.jpg","","simple","Eggs > Anastasija","","","0","","","","TB","0|1|0","TB","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-1 LB","p32-1-lb","1737","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:31","0","1","open","P32-1 LB","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","LB","0|1|0","LB","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-2 R","p32-2-r","1738","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:31","0","1","open","P32-2 R","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","R","0|1|0","R","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-3 DB","p32-3-db","1739","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:31","0","1","open","P32-3 DB","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","DB","0|1|0","DB","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-4 GR","p32-4-gr","1740","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:31","0","1","open","P32-4 GR","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","GR","0|1|0","GR","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-5 DB","p32-5-db","1741","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:32","0","1","open","P32-5 DB","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","DB","0|1|0","DB","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-6 DB","p32-6-db","1742","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:32","0","1","open","P32-6 DB","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","DB","0|1|0","DB","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"P32-7 W","p32-7-w","1743","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","Empress Maria is our most prestigious and collectable collection, 18 carat gold and precious stones thourgh out the collection. The pendants comes with a 18 carat gold chain as a set","pending","0","2016-03-11 15:37:32","0","1","open","P32-7 W","no","no","visible","0","instock","no","no","3.231,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Empress Maria","","","0","40 cm 18 carat gold","0|1|0","","w","0|1|0","W","","","","Gold with diamonds (VS-S)","0|1|0","","18 carat gold and diamonds (VS-S)","0|1|0","","22 mm","0|1|0","22 mm","","",""
"PF005 TB","pf005-tb","1744","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:32","0","1","open","PF005 TB","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf005-tb/PF005-TB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf005-tb/PF005-TB_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","TB","0|1|0","TB","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"PF008 GR","pf008-gr","1745","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:32","0","1","open","PF008 GR","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf008-gr/PF008-GR.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf008-gr/PF008-GR_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","GR","0|1|0","GR","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"PF020 DB","pf020-db","1746","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:32","0","1","open","PF020 DB","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf020-db/PF020-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf020-db/PF020-DB_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","DB","0|1|0","DB","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"PF023 DB","pf023-db","1747","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:32","0","1","open","PF023 DB","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf023-db/PF023-DB.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf023-db/PF023-DB_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","DB","0|1|0","DB","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"PF028 B","pf028-b","1748","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","In the tradition, heritagé and in the memort of Grand Master Peter Carl Fabergé we offer ""The original designs"". All the pieces have remarkable history and are made with the highest level of details and quality.","publish","0","2016-03-11 15:37:32","0","1","open","PF028 B","no","no","visible","0","instock","no","no","214,00","","","","","","taxable","","","","no","","","","","","","","","","","http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf028-b/PF028-B.jpg | http://localhost/faberge/app/uploads/product/peter-carl-faberge/pf028-b/PF028-B_zoom.jpg","","simple","Eggs > Peter Carl Fabergé","","","0","","","","B","0|1|0","B","","","","","","","Gold plated or white rhodium plated 925 silver, enamel and zircons","0|1|0","","22 mm","0|1|0","22 mm","","",""
"SP3153","sp3153","1749","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","pending","0","2016-03-11 15:37:32","0","1","open","SP3153","no","no","visible","0","instock","no","no","1.496,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Natalia","","","0","","","","","","","0,1-0,2 ct (VS-S)","0|1|0","","","","","Mother Pearl and 18 carat gold","0|1|0","","22 mm","0|1|0","22 mm","","",""
"SP3154","sp3154","1750","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","pending","0","2016-03-11 15:37:32","0","1","open","SP3154","no","no","visible","0","instock","no","no","1.496,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Natalia","","","0","","","","","","","0,1-0,2 ct (VS-S)","0|1|0","","","","","Mother Pearl and 18 carat gold","0|1|0","","22 mm","0|1|0","22 mm","","",""
"SP3155","sp3155","1751","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","pending","0","2016-03-11 15:37:33","0","1","open","SP3155","no","no","visible","0","instock","no","no","1.496,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Natalia","","","0","","","","","","","0,1-0,2 ct (VS-S)","0|1|0","","","","","Mother Pearl and 18 carat gold","0|1|0","","22 mm","0|1|0","22 mm","","",""
"SP3156","sp3156","1752","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","Natalia is our collectable collection with The Mother Pearl and 18 carat gold. Figurative jewellery in high craftmanship and quality.","pending","0","2016-03-11 15:37:33","0","1","open","SP3156","no","no","visible","0","instock","no","no","1.496,00","","","","","","taxable","","","","no","","","","","","","","","","","","","simple","Eggs > Natalia","","","0","","","","","","","0,1-0,2 ct (VS-S)","0|1|0","","","","","Mother Pearl and 18 carat gold","0|1|0","","22 mm","0|1|0","22 mm","","",""
